100,200,yellow,5
150,250,blue,10
300,150,red,7
200,300,green,8
250,100,white,6
100,200,yellow,5
150,250,blue,10
300,150,red,7
200,300,green,8
250,100,white,6
100,200,yellow,5
150,250,blue,10
300,150,red,7
200,300,green,8
250,100,white,6
100,200,yellow,5
150,250,blue,10
300,150,red,7
200,300,green,8
250,100,white,6
100,200,yellow,5
150,250,blue,10
300,150,red,7
200,300,green,8
250,100,white,6
100,200,yellow,5
150,250,blue,10
300,150,red,7
200,300,green,8
250,100,white,6
